Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2018","1,322.80","1,341.15","1,347.40","1,317.50",1.35M,-2.06%
"Jan 02, 2018","1,315.60","1,330.00","1,334.80","1,310.10",1.92M,-0.54%
"Jan 03, 2018","1,319.33","1,316.00","1,334.50","1,315.60",1.26M,0.28%
"Jan 04, 2018","1,328.55","1,325.00","1,331.00","1,320.00",913.08K,0.70%
"Jan 05, 2018","1,344.60","1,325.00","1,349.75","1,325.00",1.15M,1.21%
"Jan 08, 2018","1,357.20","1,350.00","1,363.42","1,340.92",1.24M,0.94%
"Jan 09, 2018","1,354.50","1,357.50","1,360.50","1,338.28",2.15M,-0.20%
"Jan 10, 2018","1,403.30","1,355.50","1,408.00","1,347.33",3.37M,3.60%
"Jan 11, 2018","1,395.25","1,405.00","1,410.95","1,391.10",2.52M,-0.57%
"Jan 12, 2018","1,388.17","1,402.50","1,402.50","1,370.28",3.36M,-0.51%
"Jan 15, 2018","1,373.05","1,388.58","1,404.00","1,367.53",1.46M,-1.09%
"Jan 16, 2018","1,425.42","1,378.00","1,430.83","1,375.28",4.27M,3.81%
"Jan 17, 2018","1,444.47","1,435.00","1,462.50","1,431.08",4.28M,1.34%
"Jan 18, 2018","1,459.10","1,448.50","1,466.50","1,434.03",2.21M,1.01%
"Jan 19, 2018","1,479.65","1,465.28","1,491.00","1,451.83",1.82M,1.41%
"Jan 22, 2018","1,558.20","1,480.50","1,567.35","1,461.00",4.37M,5.31%
"Jan 23, 2018","1,551.00","1,557.47","1,571.17","1,545.03",3.24M,-0.46%
"Jan 24, 2018","1,587.30","1,545.00","1,629.53","1,541.33",5.62M,2.34%
"Jan 25, 2018","1,560.53","1,587.50","1,589.90","1,540.50",3.83M,-1.69%
"Jan 29, 2018","1,599.42","1,565.70","1,612.50","1,561.00",3.14M,2.49%
"Jan 30, 2018","1,576.42","1,590.00","1,601.90","1,571.85",1.57M,-1.44%
"Jan 31, 2018","1,556.17","1,568.50","1,575.00","1,549.30",3.04M,-1.28%
"Feb 01, 2018","1,569.30","1,562.00","1,595.00","1,544.40",2.40M,0.84%
"Feb 02, 2018","1,576.83","1,560.00","1,595.00","1,551.72",2.46M,0.48%
"Feb 05, 2018","1,551.60","1,555.00","1,594.00","1,538.42",2.76M,-1.60%
"Feb 06, 2018","1,498.62","1,505.00","1,538.58","1,492.50",2.66M,-3.41%
"Feb 07, 2018","1,477.53","1,513.50","1,515.50","1,473.72",2.18M,-1.41%
"Feb 08, 2018","1,487.10","1,489.88","1,513.80","1,479.50",2.76M,0.65%
"Feb 09, 2018","1,485.85","1,475.00","1,497.00","1,448.33",2.10M,-0.08%
"Feb 12, 2018","1,483.65","1,489.15","1,511.67","1,477.78",1.97M,-0.15%
"Feb 14, 2018","1,455.90","1,485.00","1,487.22","1,446.25",2.85M,-1.87%
"Feb 15, 2018","1,462.92","1,465.97","1,471.50","1,452.55",2.47M,0.48%
"Feb 16, 2018","1,466.53","1,461.50","1,499.80","1,461.50",2.52M,0.25%
"Feb 19, 2018","1,461.80","1,472.50","1,476.65","1,447.60",1.57M,-0.32%
"Feb 20, 2018","1,472.38","1,464.00","1,492.53","1,463.95",1.89M,0.72%
"Feb 21, 2018","1,521.15","1,487.00","1,531.30","1,480.03",3.09M,3.31%
"Feb 22, 2018","1,525.10","1,526.00","1,539.50","1,511.25",3.46M,0.26%
"Feb 23, 2018","1,537.90","1,525.00","1,544.50","1,496.05",3.36M,0.84%
"Feb 26, 2018","1,515.85","1,537.50","1,544.97","1,510.60",1.36M,-1.43%
"Feb 27, 2018","1,521.17","1,520.50","1,539.28","1,516.00",1.72M,0.35%
"Feb 28, 2018","1,517.53","1,517.50","1,531.97","1,510.72",2.71M,-0.24%
"Mar 01, 2018","1,518.85","1,524.50","1,530.60","1,510.00",1.72M,0.09%
"Mar 05, 2018","1,552.92","1,524.50","1,556.83","1,516.47",2.86M,2.24%
"Mar 06, 2018","1,521.40","1,561.00","1,563.50","1,515.08",1.91M,-2.03%
"Mar 07, 2018","1,513.72","1,535.00","1,544.50","1,509.25",1.92M,-0.50%
"Mar 08, 2018","1,501.97","1,527.45","1,527.45","1,493.75",1.95M,-0.78%
"Mar 09, 2018","1,517.05","1,502.50","1,531.60","1,488.60",1.87M,1.00%
"Mar 12, 2018","1,526.08","1,521.50","1,541.95","1,517.75",2.09M,0.60%
"Mar 13, 2018","1,443.40","1,462.45","1,469.85","1,436.00",88.07M,-5.42%
"Mar 14, 2018","1,443.45","1,446.47","1,461.53","1,437.53",3.67M,0.00%
"Mar 15, 2018","1,434.85","1,447.50","1,451.28","1,427.80",2.35M,-0.60%
"Mar 16, 2018","1,412.85","1,434.40","1,436.00","1,402.50",7.20M,-1.53%
"Mar 19, 2018","1,415.50","1,414.50","1,424.00","1,410.00",3.49M,0.19%
"Mar 20, 2018","1,432.42","1,410.00","1,436.60","1,409.50",4.02M,1.20%
"Mar 21, 2018","1,428.38","1,436.25","1,442.15","1,425.00",3.91M,-0.28%
"Mar 22, 2018","1,415.67","1,429.97","1,437.97","1,411.28",2.33M,-0.89%
"Mar 23, 2018","1,409.08","1,401.00","1,417.05","1,399.03",3.65M,-0.47%
"Mar 26, 2018","1,408.50","1,409.50","1,413.70","1,390.78",2.96M,-0.04%
"Mar 27, 2018","1,423.85","1,412.50","1,431.50","1,411.53",2.49M,1.09%
"Mar 28, 2018","1,424.58","1,417.95","1,437.50","1,412.50",6.87M,0.05%
"Apr 02, 2018","1,454.83","1,420.00","1,457.00","1,420.00",1.66M,2.12%
"Apr 03, 2018","1,455.62","1,446.05","1,464.95","1,446.05",1.94M,0.05%
"Apr 04, 2018","1,455.45","1,464.72","1,467.00","1,446.00",2.84M,-0.01%
"Apr 05, 2018","1,478.97","1,463.28","1,481.88","1,460.17",1.81M,1.62%
"Apr 06, 2018","1,475.15","1,477.00","1,480.00","1,463.28",1.13M,-0.26%
"Apr 09, 2018","1,461.95","1,469.85","1,481.75","1,457.50",1.24M,-0.89%
"Apr 10, 2018","1,468.80","1,462.85","1,478.62","1,462.85",1.18M,0.47%
"Apr 11, 2018","1,507.08","1,475.30","1,512.50","1,472.80",3.12M,2.61%
"Apr 12, 2018","1,569.62","1,505.00","1,575.00","1,503.97",6.11M,4.15%
"Apr 13, 2018","1,576.65","1,575.00","1,620.40","1,566.05",8.18M,0.45%
"Apr 16, 2018","1,593.83","1,558.00","1,599.97","1,555.38",6.27M,1.09%
"Apr 17, 2018","1,583.30","1,593.83","1,597.47","1,573.60",3.30M,-0.66%
"Apr 18, 2018","1,579.55","1,583.00","1,596.72","1,572.92",2.43M,-0.24%
"Apr 19, 2018","1,595.58","1,589.95","1,608.60","1,582.88",4.82M,1.01%
"Apr 20, 2018","1,701.22","1,625.00","1,711.17","1,620.00",18.47M,6.62%
"Apr 23, 2018","1,704.33","1,712.00","1,778.95","1,694.78",15.19M,0.18%
"Apr 24, 2018","1,692.83","1,705.00","1,721.58","1,671.25",8.31M,-0.67%
"Apr 25, 2018","1,735.12","1,692.50","1,741.50","1,682.53",8.20M,2.50%
"Apr 26, 2018","1,769.62","1,733.50","1,780.00","1,733.50",12.14M,1.99%
"Apr 27, 2018","1,725.97","1,762.50","1,772.00","1,710.00",4.50M,-2.47%
"Apr 30, 2018","1,766.05","1,725.97","1,774.50","1,718.80",3.46M,2.32%
"May 02, 2018","1,749.88","1,765.25","1,766.10","1,735.65",3.16M,-0.92%
"May 03, 2018","1,740.92","1,754.90","1,763.00","1,735.20",3.76M,-0.51%
"May 04, 2018","1,740.38","1,746.00","1,748.50","1,735.00",2.35M,-0.03%
"May 07, 2018","1,710.47","1,745.00","1,745.00","1,705.45",3.48M,-1.72%
"May 08, 2018","1,720.60","1,717.35","1,743.25","1,698.35",2.99M,0.59%
"May 09, 2018","1,744.65","1,720.10","1,747.38","1,720.10",2.62M,1.40%
"May 10, 2018","1,725.62","1,751.47","1,755.58","1,720.10",3.86M,-1.09%
"May 11, 2018","1,728.47","1,727.10","1,742.50","1,721.25",2.63M,0.17%
"May 14, 2018","1,716.78","1,728.50","1,735.50","1,705.40",2.43M,-0.68%
"May 15, 2018","1,741.20","1,725.00","1,747.90","1,716.85",1.95M,1.42%
"May 16, 2018","1,746.95","1,739.97","1,754.50","1,737.62",1.65M,0.33%
"May 17, 2018","1,745.90","1,756.47","1,766.58","1,738.00",2.97M,-0.06%
"May 18, 2018","1,751.03","1,740.40","1,758.85","1,729.00",1.87M,0.29%
"May 21, 2018","1,778.38","1,764.35","1,796.00","1,759.03",3.45M,1.56%
"May 22, 2018","1,754.45","1,779.00","1,787.47","1,746.85",1.86M,-1.35%
"May 23, 2018","1,747.55","1,762.50","1,772.50","1,740.50",1.51M,-0.39%
